Customer ID,,,,Age
100000001,,,,21
400000002,,,,34
100000003,,,,46
300000004,,,,32
100000005,,,,38
300000006,,,,30
100000007,,,,34
200000008,,,,48
300000009,,,,33
100000010,,,,42
100000011,,,,40
100000012,,,,39
100000013,,,,24
200000014,,,,46
300000015,,,,36
100000016,,,,42
200000017,,,,31
200000018,,,,42
100000019,,,,40
100000020,,,,46
300000021,,,,37
200000022,,,,58
300000023,,,,41
200000024,,,,52
100000025,,,,38
200000026,,,,55
400000027,,,,37
100000028,,,,33
200000029,,,,50
100000030,,,,42
100000031,,,,25
300000032,,,,30
200000033,,,,58
100000034,,,,26
100000035,,,,34
100000036,,,,36
100000037,,,,33
100000038,,,,31
200000039,,,,35
200000040,,,,59
100000041,,,,27
100000042,,,,35
200000043,,,,49
400000044,,,,22
100000045,,,,53
200000046,,,,47
200000047,,,,32
400000048,,,,19
100000049,,,,27
100000050,,,,39
100000051,,,,29
100000052,,,,31
100000053,,,,37
100000054,,,,32
100000055,,,,24
100000056,,,,40
100000057,,,,33
100000058,,,,44
100000059,,,,39
100000060,,,,47
100000061,,,,35
100000062,,,,47
100000063,,,,47
100000064,,,,39
200000065,,,,50
200000066,,,,43
200000067,,,,47
200000068,,,,61
200000069,,,,53
200000070,,,,45
200000071,,,,49
200000072,,,,51
300000073,,,,36
300000074,,,,45
400000075,,,,30
200000076,,,,44
100000077,,,,38
100000078,,,,36
300000079,,,,23
100000080,,,,34
100000081,,,,36
100000082,,,,20
100000083,,,,31
100000084,,,,42
100000085,,,,38
100000086,,,,39
100000087,,,,41
100000088,,,,24
100000089,,,,24
100000090,,,,35
100000091,,,,35
100000092,,,,26
100000093,,,,23
100000094,,,,38
100000095,,,,30
100000096,,,,28
100000097,,,,38
100000098,,,,36
200000099,,,,40
200000100,,,,56
200000101,,,,51
200000102,,,,44
200000103,,,,55
200000104,,,,57
200000105,,,,48
200000106,,,,54
200000107,,,,36
200000108,,,,48
200000109,,,,63
200000110,,,,63
300000111,,,,25
300000112,,,,26
400000113,,,,29
400000114,,,,18
400000115,,,,43
100000116,,,,36
100000117,,,,40
200000118,,,,52
100000119,,,,18
100000120,,,,31
100000121,,,,37
100000122,,,,25
100000123,,,,50
100000124,,,,39
100000125,,,,27
100000126,,,,42
100000127,,,,27
100000128,,,,41
100000129,,,,47
100000130,,,,27
100000131,,,,41
100000132,,,,20
100000133,,,,38
100000134,,,,34
100000135,,,,42
100000136,,,,26
100000137,,,,43
100000138,,,,37
100000139,,,,40
200000140,,,,57
100000141,,,,45
100000142,,,,23
100000143,,,,45
100000144,,,,26
100000145,,,,37
100000146,,,,41
100000147,,,,33
100000148,,,,37
100000149,,,,33
100000150,,,,29
100000151,,,,33
100000152,,,,32
100000153,,,,36
100000154,,,,46
100000155,,,,33
100000156,,,,24
100000157,,,,32
100000158,,,,26
100000159,,,,30
100000160,,,,38
100000161,,,,42
100000162,,,,36
100000163,,,,39
200000164,,,,59
200000165,,,,52
200000166,,,,51
300000167,,,,24
300000168,,,,30
100000169,,,,39
100000170,,,,32
100000171,,,,38
100000172,,,,42
100000173,,,,26
100000174,,,,31
100000175,,,,31
100000176,,,,25
100000177,,,,35
100000178,,,,33
100000179,,,,24
400000180,,,,29
100000181,,,,32
100000182,,,,36
100000183,,,,31
100000184,,,,33
100000185,,,,40
200000186,,,,51
100000187,,,,46
100000188,,,,29
100000189,,,,40
100000190,,,,25
200000191,,,,51
100000192,,,,39
100000193,,,,44
100000194,,,,40
100000195,,,,35
100000196,,,,32
100000197,,,,38
100000198,,,,29
100000199,,,,31
100000200,,,,47
100000201,,,,34
100000202,,,,37
100000203,,,,40
100000204,,,,26
100000205,,,,25
100000206,,,,36
100000207,,,,41
100000208,,,,39
100000209,,,,39
200000210,,,,44
100000211,,,,39
100000212,,,,34
100000213,,,,29
100000214,,,,21
100000215,,,,39
100000216,,,,38
100000217,,,,28
100000218,,,,29
100000219,,,,25
100000220,,,,38
100000221,,,,45
100000222,,,,33
100000223,,,,32
100000224,,,,43
100000225,,,,31
100000226,,,,40
100000227,,,,29
100000228,,,,37
100000229,,,,36
100000230,,,,42
100000231,,,,45
100000232,,,,41
100000233,,,,42
100000234,,,,42
100000235,,,,40
100000236,,,,43
100000237,,,,43
300000238,,,,27
100000239,,,,35
100000240,,,,32
100000241,,,,43
100000242,,,,34
100000243,,,,47
100000244,,,,39
100000245,,,,31
100000246,,,,30
100000247,,,,33
100000248,,,,37
100000249,,,,43
100000250,,,,30
100000251,,,,33
100000252,,,,30
100000253,,,,29
100000254,,,,34
